OID,SOURCE_ID,Dist_HLTH,GiZScore,GiPValue,NNeighbors,Gi_Bin
-1,0,5.500000000000000,3.913321462970000,0.000091035214498,98,3
-1,1,5.500000000000000,4.243364194400000,0.000022019364803,100,3
-1,2,5.500000000000000,-2.051976761360000,0.040171920907800,47,-2
-1,3,5.500000000000000,2.130805532470000,0.033105166391900,107,2
-1,4,5.500000000000000,2.089272703060000,0.036683182131000,112,2
-1,5,5.500000000000000,4.780206298310000,0.000001751154091,70,3
-1,6,5.500000000000000,-0.445615314151000,0.655875147842000,29,0
-1,7,5.500000000000000,3.037064814540000,0.002388940820930,110,3
-1,8,4.500000000000000,0.360170196034000,0.718719861971000,112,0
-1,9,5.500000000000000,2.981161604250000,0.002871572136600,107,3
-1,10,5.500000000000000,-2.392818342990000,0.016719516773300,52,-2
-1,11,5.500000000000000,4.864451681700000,0.000001147745404,82,3
-1,12,3.500000000000000,-1.873419998010000,0.061010410637100,67,-1
-1,13,5.500000000000000,3.611153607570000,0.000304838036302,105,3
-1,14,5.500000000000000,2.168575801330000,0.030114903995500,113,2
-1,15,5.500000000000000,1.066326746460000,0.286275978850000,114,0
-1,16,4.500000000000000,2.070065813050000,0.038446181794900,107,2
-1,17,5.500000000000000,-2.336287346920000,0.019476270530200,61,-2
-1,18,4.500000000000000,3.505397248230000,0.000455926450544,82,3
-1,19,5.500000000000000,-1.501521411630000,0.133220752881000,48,0
-1,20,5.500000000000000,2.441595648600000,0.014622514238400,111,2
-1,21,4.500000000000000,1.644887777160000,0.099992955987000,107,1
-1,22,5.500000000000000,0.977706805687000,0.328219367403000,112,0
-1,23,5.500000000000000,4.424418162960000,0.000009670255189,92,3
-1,24,5.500000000000000,2.600241137220000,0.009315827381440,106,3
-1,25,5.500000000000000,3.231496486110000,0.001231438380220,104,3
-1,26,5.500000000000000,3.467079359550000,0.000526146525986,107,3
-1,27,5.500000000000000,-2.257008883620000,0.024007519673600,62,-2
-1,28,4.500000000000000,3.823896163640000,0.000131359253938,74,3
-1,29,3.500000000000000,-1.845594937180000,0.064951042184800,39,-1
-1,30,5.500000000000000,2.920421884830000,0.003495578178400,107,3
-1,31,4.500000000000000,-0.142801633898000,0.886446846681000,104,0
-1,32,4.500000000000000,3.164566200970000,0.001553143248400,73,3
-1,33,3.500000000000000,2.973213398620000,0.002946994823120,68,3
-1,34,4.500000000000000,1.065552886120000,0.286625822429000,62,0
-1,35,5.500000000000000,-2.117332851220000,0.034231608697700,63,-2
-1,36,4.500000000000000,-2.037359737810000,0.041614005474400,35,-2
-1,37,5.500000000000000,2.257008883620000,0.024007519673600,111,2
-1,38,5.500000000000000,3.126251309020000,0.001770501811540,78,3
-1,39,5.500000000000000,2.151026364030000,0.031474118826400,112,2
-1,40,5.500000000000000,3.139084939470000,0.001694763151880,112,3
-1,41,5.500000000000000,-1.748718700090000,0.080339655970600,40,-1
-1,42,5.500000000000000,2.434504129530000,0.014912209697000,107,2
-1,43,4.500000000000000,4.627368213170000,0.000003703417407,63,3
-1,44,5.500000000000000,3.262592261400000,0.001103982310220,112,3
-1,45,4.500000000000000,4.837324677340000,0.000001315983726,73,3
-1,46,4.500000000000000,-2.205170341730000,0.027442143532800,58,-2
-1,47,5.500000000000000,2.651172556180000,0.008021284898670,109,3
-1,48,4.500000000000000,0.662051432675000,0.507938264292000,106,0
-1,49,5.500000000000000,-2.412572901040000,0.015840369299300,57,-2
-1,50,5.500000000000000,1.517680308920000,0.129095010413000,115,0
-1,51,4.500000000000000,0.843257545801000,0.399084429140000,116,0
-1,52,3.500000000000000,0.982283446784000,0.325960239938000,58,0
-1,53,5.500000000000000,3.228120747640000,0.001246063647390,59,3
-1,54,5.500000000000000,1.937663919180000,0.052664238616000,114,1
-1,55,4.500000000000000,3.699005607950000,0.000216445819088,71,3
-1,56,5.500000000000000,1.955173966160000,0.050562540279000,115,1
-1,57,4.500000000000000,2.146326010940000,0.031846977780300,108,2
-1,58,5.500000000000000,3.445641187600000,0.000569706270495,109,3
-1,59,5.500000000000000,4.047959312150000,0.000051666124876,99,3
-1,60,5.500000000000000,4.314685831640000,0.000015983003803,97,3
-1,61,4.500000000000000,-1.326816616140000,0.184569352552000,37,0
-1,62,5.500000000000000,1.952459052860000,0.050883727866000,103,1
-1,63,4.500000000000000,-0.185906563062000,0.852518035438000,106,0
-1,64,5.500000000000000,-2.517547736890000,0.011817495438700,55,-2
-1,65,5.500000000000000,2.072685219840000,0.038201584178300,103,2
-1,66,5.500000000000000,3.952898106730000,0.000077210321125,63,3
-1,67,5.500000000000000,2.441595648600000,0.014622514238400,111,2
-1,68,4.500000000000000,0.647993571784000,0.516989111905000,23,0
-1,69,5.500000000000000,1.211017215370000,0.225888829228000,111,0
-1,70,2.500000000000000,-1.297083776680000,0.194602362909000,2,0
-1,71,5.500000000000000,3.323415244310000,0.000889224397847,109,3
-1,72,5.500000000000000,2.485225636550000,0.012946934379700,110,2
-1,73,5.500000000000000,3.102641043070000,0.001918021272240,107,3
-1,74,5.500000000000000,5.050967296370000,0.000000439578334,90,3
-1,75,5.500000000000000,2.830161280660000,0.004652454496040,115,3
-1,76,5.500000000000000,-2.726435972090000,0.006402237249670,57,-3
-1,77,3.500000000000000,-1.950400258870000,0.051128431039500,25,-1
-1,78,4.500000000000000,4.805362358500000,0.000001544714783,82,3
-1,79,5.500000000000000,4.286500387170000,0.000018150988625,99,3
-1,80,5.500000000000000,-2.610096093030000,0.009051679251450,51,-3
-1,81,5.500000000000000,2.995355943560000,0.002741247506870,111,3
