FID,Join_Count,OID,Join_Count,TARGET_FID,Join_Cou_1,Target_F_1,StateAbbr,PlaceName,PlaceFIPS,TractFIPS,Place_Trac,Population,MHLTH_Crud,PHLTH_Crud,Geolocatio,lat,long,MHLTH_Medi,PHLTH_Medi,Field14,Field15,Field16,Field17,Field18,Field19,Field20,Field21,Field22,Field23,Field24,Field25,Field26,Field27,Field28,Field29,Field30,Field31,Field32,Field33,Field34,Field35,Field36,Field37,Field38,Field39,Field40,Field41,Field42,Field43,Field44,Field45,Field46,LPA_CrudeP,Field48,Field49,Field50,Field51,Field52,Field53,Field54,Field55,Field56,PHLTH_Cr_1,MHLTH,PHLTH,Health,Distance,Dist_HLTH
18,1,18,1,18,0,0,MA,Boston,2507000,25025090901,2507000-25025090901,3730,15.7,9.5,"(42.31648515740, -71.0411574614)",42.31648516,-71.04115746,13.2,10.4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , ,0,1.5,0,1.5,3,4.5
19,1,19,1,19,0,0,MA,Boston,2507000,25025000602,2507000-25025000602,3974,14.9,10.9,"(42.34925137980, -71.1424568300)",42.34925138,-71.14245683,13.2,10.4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , ,0,1.5,1,2.5,3,5.5
20,1,20,1,20,0,0,MA,Boston,2507000,25025081800,2507000-25025081800,2898,17.7,16.5,"(42.32031848990, -71.0800303292)",42.32031849,-71.08003033,13.2,10.4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , ,0,1.5,1,2.5,3,5.5
21,1,21,1,21,0,0,MA,Boston,2507000,25025080900,2507000-25025080900,4008,13.8,7.4,"(42.33234589270, -71.1016908302)",42.33234589,-71.10169083,13.2,10.4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , ,0,1.5,0,1.5,3,4.5
22,1,22,1,22,0,0,MA,Boston,2507000,25025080801,2507000-25025080801,3885,19.1,12.1,"(42.33460573810, -71.0962094582)",42.33460574,-71.09620946,13.2,10.4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , ,0,1.5,1,2.5,3,5.5
23,1,23,1,23,0,0,MA,Boston,2507000,25025092000,2507000-25025092000,4945,17.1,15.2,"(42.29967579590, -71.0675667214)",42.2996758,-71.06756672,13.2,10.4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , ,0,1.5,1,2.5,3,5.5
24,1,24,1,24,0,0,MA,Boston,2507000,25025060700,2507000-25025060700,1893,22.4,20.6,"(42.33852173860, -71.0539041193)",42.33852174,-71.05390412,13.2,10.4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , ,0,1.5,1,2.5,3,5.5
25,1,25,1,25,0,0,MA,Boston,2507000,25025091500,2507000-25025091500,4370,17.3,14.4,"(42.31149407450, -71.0643706730)",42.31149407,-71.06437067,13.2,10.4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , ,0,1.5,1,2.5,3,5.5
26,1,26,1,26,0,0,MA,Boston,2507000,25025090300,2507000-25025090300,3179,18,15.6,"(42.31093661030, -71.0765050104)",42.31093661,-71.07650501,13.2,10.4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , ,0,1.5,1,2.5,3,5.5
27,1,27,1,27,0,0,MA,Boston,2507000,25025050400,2507000-25025050400,2372,15.2,13,"(42.36821842040, -71.0379018576)",42.36821842,-71.03790186,13.2,10.4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , ,0,1.5,1,2.5,3,5.5
