FID,SOURCE_ID,Dist_HLTH,GiZScore,GiPValue,NNeighbors,Gi_Bin
130,130,3,1.689804742,0.091065316,84,1
131,131,2,-2.657255254,0.007877977,29,-3
132,132,3,4.38043827,1.18441E-05,80,3
133,133,3,3.445790038,0.000569393,54,3
134,134,3,-0.946925337,0.343676838,74,0
135,135,3,2.398041008,0.01648302,112,2
136,136,3,0.272989458,0.78486132,84,0
137,137,4,4.913027868,8.96805E-07,80,3
138,138,3,-0.936172387,0.349184449,17,0
139,139,4,-0.544083286,0.586384164,28,0
140,140,3,-1.354799056,0.175481587,42,0
141,141,3,-2.030625168,0.042293033,33,-2
142,142,3,-1.496907321,0.134417375,68,0
143,143,3,1.845624044,0.064946813,104,1
144,144,3,3.262592261,0.001103982,112,3
145,145,2,1.15339501,0.248748308,96,0
146,146,2,2.069813523,0.038469811,93,2
147,147,2,2.543951478,0.010960631,98,2
148,148,3,3.711534921,0.000206006,110,3
149,149,3,-3.057637478,0.002230893,21,-3
150,150,2,-2.750107644,0.005957569,32,-3
151,151,4,-0.151114764,0.879885186,51,0
152,152,3,1.938755668,0.052531097,66,1
153,153,2,-2.278336402,0.022706542,19,-2
154,154,2,-2.522050702,0.011667289,17,-2
155,155,3,0.642692994,0.520423332,115,0
156,156,2,2.552798707,0.010686123,81,2
157,157,2,3.51493336,0.000439864,95,3
158,158,3,0.126394792,0.899419425,107,0
159,159,3,0.517214475,0.605006451,78,0
160,160,4,-1.883149572,0.059680101,21,-1
161,161,3,4.136339069,3.52891E-05,97,3
162,162,3,2.733929138,0.006258351,103,3
163,163,3,-2.23686692,0.025295039,26,-2
164,164,4,-2.219754724,0.026435422,23,-2
165,165,3,0.253796771,0.799652568,53,0
166,166,3,-1.784846759,0.074286177,57,-1
167,167,3,0.071035834,0.943369236,54,0
168,168,2,-1.796635669,0.072393478,60,-1
169,169,2,0.084534303,0.93263163,76,0
170,170,3,0.167952513,0.866620638,105,0
171,171,3,2.798942446,0.005127028,107,3
172,172,3,3.445641188,0.000569706,109,3
