FID,SOURCE_ID,Health,GiZScore,GiPValue,NNeighbors,Gi_Bin
0,0,2.500000000000000,3.265669637020000,0.001092055730830,98,3
1,1,2.500000000000000,3.941351196290000,0.000081023893273,100,3
2,2,2.500000000000000,-2.616765685260000,0.008876725274650,47,-3
3,3,2.500000000000000,0.906643186346000,0.364595526558000,107,0
4,4,2.500000000000000,0.764141729701000,0.444782793142000,112,0
5,5,2.500000000000000,5.483862591700000,0.000000041613805,70,3
6,6,2.500000000000000,-0.995031753531000,0.319720834130000,29,0
7,7,2.500000000000000,2.445980094840000,0.014445897571400,110,2
8,8,1.500000000000000,-1.690254707940000,0.090979236038100,112,-1
9,9,2.500000000000000,1.174876228220000,0.240044258009000,107,0
10,10,2.500000000000000,-3.058137679350000,0.002227172244850,52,-3
11,11,2.500000000000000,5.224173571690000,0.000000174934631,82,3
12,12,1.500000000000000,-2.941083041500000,0.003270668395510,67,-3
13,13,2.500000000000000,3.030776913850000,0.002439253987250,105,3
14,14,2.500000000000000,1.625120710050000,0.104136840869000,113,0
15,15,2.500000000000000,-0.873804518617000,0.382224728494000,114,0
16,16,2.500000000000000,0.169002321183000,0.865794815690000,107,0
17,17,2.500000000000000,-3.218538167340000,0.001288458220210,61,-3
18,18,1.500000000000000,2.549490220740000,0.010788053662800,82,2
19,19,2.500000000000000,-2.342338230750000,0.019163339462400,48,-2
20,20,2.500000000000000,1.607928040240000,0.107850939824000,111,0
21,21,1.500000000000000,0.101944060713000,0.918801076735000,107,0
22,22,2.500000000000000,-1.008477919700000,0.313225096294000,112,0
23,23,2.500000000000000,4.468845529280000,0.000007864289563,92,3
24,24,2.500000000000000,0.667531924388000,0.504432429170000,106,0
25,25,2.500000000000000,2.388692626210000,0.016908441969200,104,2
26,26,2.500000000000000,2.918391000430000,0.003518428600660,107,3
27,27,2.500000000000000,-3.034448814400000,0.002409756427860,62,-3
28,28,2.500000000000000,4.396745755950000,0.000010988593101,74,3
29,29,1.500000000000000,-2.341286045050000,0.019217437164300,39,-2
30,30,2.500000000000000,0.839584925876000,0.401141162279000,107,0
31,31,1.500000000000000,-2.001856698650000,0.045300145892300,104,-2
32,32,2.500000000000000,3.709551861090000,0.000207626426024,73,3
33,33,2.500000000000000,3.571629115600000,0.000354767574555,68,3
34,34,2.500000000000000,1.992338675500000,0.046333910933200,62,2
35,35,2.500000000000000,-3.055225176860000,0.002248916049550,63,-3
36,36,1.500000000000000,-2.528645338270000,0.011450366768900,35,-2
