StateAbbr,PlaceName,PlaceFIPS,TractFIPS,Place_TractID,Population2010,MHLTH_CrudePrev,PHLTH_CrudePrev,Geolocation
MA,Boston,2507000,25025020200,2507000-25025020200,3649,10.8,5.7,"(42.36033541290, -71.0686333850)"
MA,Boston,2507000,25025080601,2507000-25025080601,4271,22,11.6,"(42.33336675810, -71.0880448124)"
MA,Boston,2507000,25025000503,2507000-25025000503,2211,11.7,6.1,"(42.33963598400, -71.1500991889)"
MA,Boston,2507000,25025000504,2507000-25025000504,4985,12.6,7.9,"(42.34147184890, -71.1438262063)"
MA,Boston,2507000,25025090600,2507000-25025090600,2348,20,18.1,"(42.32296036410, -71.0722752811)"
MA,Boston,2507000,25025981100,2507000-25025981100,418,15.7,13,"(42.28792984670, -71.1047138930)"
MA,Boston,2507000,25025081700,2507000-25025081700,3820,18.1,17.8,"(42.32269631570, -71.0860339999)"
MA,Boston,2507000,25025071201,2507000-25025071201,3131,15.1,13.9,"(42.33980630020, -71.0670729048)"
MA,Boston,2507000,25025010702,2507000-25025010702,2400,9.7,6.6,"(42.35183534100, -71.0755159067)"
MA,Boston,2507000,25025010701,2507000-25025010701,2478,9.7,5.4,"(42.34972228950, -71.0838807341)"
MA,Boston,2507000,25025120301,2507000-25025120301,4795,11.4,8.7,"(42.31264156370, -71.1019312823)"
MA,Boston,2507000,25025091001,2507000-25025091001,2742,12,9.8,"(42.30936024190, -71.0505762555)"
MA,Boston,2507000,25025030500,2507000-25025030500,2538,9.3,5.5,"(42.36767009570, -71.0517846174)"
MA,Boston,2507000,25025120400,2507000-25025120400,5751,10.1,7.5,"(42.31390165250, -71.1116653761)"
MA,Boston,2507000,25025140107,2507000-25025140107,2531,12,10.9,"(42.25772173130, -71.1284205708)"
MA,Boston,2507000,25025140106,2507000-25025140106,1901,14.6,13.4,"(42.27493782820, -71.1366738674)"
MA,Boston,2507000,25025140105,2507000-25025140105,3675,12.3,10.7,"(42.26799707290, -71.1251893266)"
MA,Boston,2507000,25025070402,2507000-25025070402,1723,13.7,16.1,"(42.34538094640, -71.0647064913)"
MA,Boston,2507000,25025060600,2507000-25025060600,2357,9.7,5.6,"(42.34910998540, -71.0424509841)"
MA,Boston,2507000,25025040100,2507000-25025040100,2168,9.4,6.8,"(42.37272326620, -71.0600983411)"
MA,Boston,2507000,25025060501,2507000-25025060501,3571,10.6,6.2,"(42.33686848380, -71.0382133093)"
MA,Boston,2507000,25025100601,2507000-25025100601,5154,13.8,11.4,"(42.29084907020, -71.0562792883)"
MA,Boston,2507000,25025100603,2507000-25025100603,1904,11.3,9.2,"(42.29116485390, -71.0433454845)"
MA,Boston,2507000,25025081300,2507000-25025081300,4760,18,18.9,"(42.31932716300, -71.0976901514)"
MA,Boston,2507000,25025051000,2507000-25025051000,4089,14.4,13.1,"(42.38725188170, -71.0157245895)"
MA,Boston,2507000,25025030200,2507000-25025030200,1665,11.7,6.8,"(42.36452077480, -71.0569749974)"
MA,Boston,2507000,25025100700,2507000-25025100700,4322,12.1,10.4,"(42.28234388770, -71.0486431631)"
MA,Boston,2507000,25025000803,2507000-25025000803,6584,16.2,6,"(42.35947776880, -71.1212627964)"
MA,Boston,2507000,25025000802,2507000-25025000802,8136,14.5,8,"(42.35687178730, -71.1297575887)"
MA,Boston,2507000,25025091400,2507000-25025091400,2741,17.6,15.8,"(42.31526890490, -71.0698537242)"
MA,Boston,2507000,25025110502,2507000-25025110502,3806,11.8,10.1,"(42.28291719070, -71.1326049312)"
MA,Boston,2507000,25025130402,2507000-25025130402,4637,11.3,10.6,"(42.27276618900, -71.1694026267)"
MA,Boston,2507000,25025090300,2507000-25025090300,3179,18,15.6,"(42.31093661030, -71.0765050104)"
MA,Boston,2507000,25025051200,2507000-25025051200,2379,13.2,10.4,"(42.36330609340, -71.0339243885)"
MA,Boston,2507000,25025070101,2507000-25025070101,5902,11.7,8,"(42.35251990840, -71.0572449419)"
MA,Boston,2507000,25025101002,2507000-25025101002,4979,15.6,15.5,"(42.27415285620, -71.0859477193)"
MA,Boston,2507000,25025050500,2507000-25025050500,1857,16.4,13.4,"(42.36977656620, -71.0339103554)"
MA,Boston,2507000,25025080500,2507000-25025080500,3096,18.6,17.2,"(42.33568235950, -71.0825418095)"
MA,Boston,2507000,25025110103,2507000-25025110103,5460,13,10.1,"(42.29618259270, -71.1157385459)"
MA,Boston,2507000,25025130200,2507000-25025130200,4506,10,9,"(42.28733195980, -71.1570117019)"
MA,Boston,2507000,25025101001,2507000-25025101001,5480,16.2,16.1,"(42.27218510070, -71.1001707884)"
MA,Boston,2507000,25025010300,2507000-25025010300,4861,18.3,6.3,"(42.33942512300, -71.1017927876)"
MA,Boston,2507000,25025060200,2507000-25025060200,1916,11.8,7.8,"(42.33255837380, -71.0326798022)"
MA,Boston,2507000,25025070900,2507000-25025070900,3329,14.3,11.3,"(42.33842826000, -71.0781590586)"
MA,Boston,2507000,25025980101,2507000-25025980101,535,22.2,24.7,"(42.32866251090, -70.9651339332)"
MA,Boston,2507000,25025100900,2507000-25025100900,4072,13.2,11.4,"(42.27379390130, -71.0746303630)"
MA,Boston,2507000,25025030100,2507000-25025030100,1954,9.5,5.3,"(42.36694618490, -71.0561502076)"
MA,Boston,2507000,25025100300,2507000-25025100300,3303,15.4,13.6,"(42.28279794940, -71.0797971888)"
MA,Boston,2507000,25025070600,2507000-25025070600,2240,8.3,5.8,"(42.34325843550, -71.0753770418)"
MA,Boston,2507000,25025081400,2507000-25025081400,3003,14.4,12.2,"(42.32776023930, -71.0937549506)"
MA,Boston,2507000,25025090700,2507000-25025090700,4275,13.6,11.3,"(42.32413104830, -71.0600286096)"
MA,Boston,2507000,25025092200,2507000-25025092200,3349,12.7,10.8,"(42.29502315100, -71.0661697011)"
MA,Boston,2507000,25025090200,2507000-25025090200,2233,19.1,17.4,"(42.30713782640, -71.0790559348)"
MA,Boston,2507000,25025091900,2507000-25025091900,3860,16.3,14.2,"(42.30084082620, -71.0755307908)"
MA,Boston,2507000,25025092400,2507000-25025092400,5277,18.8,17.3,"(42.29604175710, -71.0849876986)"
MA,Boston,2507000,25025050101,2507000-25025050101,5115,17,14.6,"(42.38145657320, -71.0396165196)"
MA,Boston,2507000,25025140201,2507000-25025140201,2072,12.4,10.4,"(42.23710075320, -71.1299497302)"
