OID,Join_Count,TARGET_FID,Join_Cou_1,TARGET_F_1,StateAbbr,PlaceName,PlaceFIPS,TractFIPS,Place_Trac,Population,MHLTH_Crud,PHLTH_Crud,Geolocatio,lat,long,MHLTH_Medi,PHLTH_Medi,MHLTH,PHLTH,Health,Distance,Dist_HLTH
-1,1,0,1,0,TN,Memphis,4748000,47157002400.000000000000000,4748000-47157002400,1839,18.800000000000001,21.399999999999999,"(35.15114911430, -90.0266476494)",35.151149109999999,-90.026647650000001,16.800000000000001,17.800000000000001,1.500000000000000,1.000000000000000,2.500000000000000,3,5.500000000000000
-1,1,1,1,1,TN,Memphis,4748000,47157008000.000000000000000,4748000-47157008000,5174,17.199999999999999,18.399999999999999,"(35.10045798450, -89.9399787328)",35.100457980000002,-89.939978730000007,16.800000000000001,17.800000000000001,1.500000000000000,1.000000000000000,2.500000000000000,1,3.500000000000000
-1,1,2,1,2,TN,Memphis,4748000,47157010300.000000000000000,4748000-47157010300,1478,20.199999999999999,22.000000000000000,"(35.24871793210, -89.9827911927)",35.248717929999998,-89.982791190000000,16.800000000000001,17.800000000000001,1.500000000000000,1.000000000000000,2.500000000000000,0,2.500000000000000
-1,1,3,1,3,TN,Memphis,4748000,47157011500.000000000000000,4748000-47157011500,2914,19.899999999999999,24.500000000000000,"(35.11516832140, -90.0237467090)",35.115168320000002,-90.023746709999998,16.800000000000001,17.800000000000001,1.500000000000000,1.000000000000000,2.500000000000000,1,3.500000000000000
-1,1,4,1,4,TN,Memphis,4748000,47157005500.000000000000000,4748000-47157005500,2731,18.300000000000001,21.000000000000000,"(35.09392640460, -90.0593626816)",35.093926400000001,-90.059362680000007,16.800000000000001,17.800000000000001,1.500000000000000,1.000000000000000,2.500000000000000,3,5.500000000000000
-1,1,5,1,5,TN,Memphis,4748000,47157008800.000000000000000,4748000-47157008800,6854,22.399999999999999,24.399999999999999,"(35.17132173990, -89.9252083423)",35.171321740000003,-89.925208339999998,16.800000000000001,17.800000000000001,1.500000000000000,1.000000000000000,2.500000000000000,1,3.500000000000000
-1,1,6,1,6,TN,Memphis,4748000,47157009800.000000000000000,4748000-47157009800,3110,17.000000000000000,18.300000000000001,"(35.15887949700, -89.8968833402)",35.158879499999998,-89.896883340000002,16.800000000000001,17.800000000000001,1.500000000000000,1.000000000000000,2.500000000000000,2,4.500000000000000
-1,1,7,1,7,TN,Memphis,4748000,47157002800.000000000000000,4748000-47157002800,3762,18.600000000000001,20.899999999999999,"(35.14417694690, -89.9577818943)",35.144176950000002,-89.957781890000007,16.800000000000001,17.800000000000001,1.500000000000000,1.000000000000000,2.500000000000000,0,2.500000000000000
-1,1,8,1,8,TN,Memphis,4748000,47157020542.000000000000000,4748000-47157020542,5313,18.000000000000000,15.900000000000000,"(35.19750051710, -89.9068658088)",35.197500519999998,-89.906865809999999,16.800000000000001,17.800000000000001,1.500000000000000,0.000000000000000,1.500000000000000,2,3.500000000000000
-1,1,9,1,9,TN,Memphis,4748000,47157980400.000000000000000,4748000-47157980400,293,20.899999999999999,13.699999999999999,"(35.13604703080, -89.8330412203)",35.136047030000000,-89.833041219999998,16.800000000000001,17.800000000000001,1.500000000000000,0.000000000000000,1.500000000000000,0,1.500000000000000
-1,1,10,1,10,TN,Memphis,4748000,47157003900.000000000000000,4748000-47157003900,1184,19.199999999999999,22.800000000000001,"(35.14427353800, -90.0385689276)",35.144273540000000,-90.038568929999997,16.800000000000001,17.800000000000001,1.500000000000000,1.000000000000000,2.500000000000000,3,5.500000000000000
-1,1,11,1,11,TN,Memphis,4748000,47157010810.000000000000000,4748000-47157010810,5865,18.300000000000001,17.699999999999999,"(35.05638069900, -89.8963876902)",35.056380699999998,-89.896387689999997,16.800000000000001,17.800000000000001,1.500000000000000,0.000000000000000,1.500000000000000,2,3.500000000000000
-1,1,12,1,12,TN,Memphis,4748000,47157001200.000000000000000,4748000-47157001200,3733,19.100000000000001,20.000000000000000,"(35.15572638800, -89.9357488258)",35.155726389999998,-89.935748829999994,16.800000000000001,17.800000000000001,1.500000000000000,1.000000000000000,2.500000000000000,2,4.500000000000000
-1,1,13,1,13,TN,Memphis,4748000,47157010620.000000000000000,4748000-47157010620,4026,21.199999999999999,18.600000000000001,"(35.05798834280, -89.9272044875)",35.057988340000001,-89.927204489999994,16.800000000000001,17.800000000000001,1.500000000000000,1.000000000000000,2.500000000000000,1,3.500000000000000
-1,1,14,1,14,TN,Memphis,4748000,47157000400.000000000000000,4748000-47157000400,1727,21.199999999999999,26.199999999999999,"(35.17819747350, -90.0163510102)",35.178197470000001,-90.016351009999994,16.800000000000001,17.800000000000001,1.500000000000000,1.000000000000000,2.500000000000000,1,3.500000000000000
-1,1,15,1,15,TN,Memphis,4748000,47157006800.000000000000000,4748000-47157006800,2538,18.699999999999999,23.699999999999999,"(35.10413390150, -89.9766825927)",35.104133900000001,-89.976682589999996,16.800000000000001,17.800000000000001,1.500000000000000,1.000000000000000,2.500000000000000,2,4.500000000000000
-1,1,16,1,16,TN,Memphis,4748000,47157004500.000000000000000,4748000-47157004500,956,19.699999999999999,18.600000000000001,"(35.12858760760, -90.0394477489)",35.128587609999997,-90.039447749999994,16.800000000000001,17.800000000000001,1.500000000000000,1.000000000000000,2.500000000000000,1,3.500000000000000
-1,1,17,1,17,TN,Memphis,4748000,47157006000.000000000000000,4748000-47157006000,2030,18.199999999999999,22.600000000000001,"(35.10457922970, -90.0188335966)",35.104579229999999,-90.018833599999994,16.800000000000001,17.800000000000001,1.500000000000000,1.000000000000000,2.500000000000000,3,5.500000000000000
