StateAbbr,PlaceName,PlaceFIPS,TractFIPS,Place_TractID,Population2010,MHLTH_CrudePrev,PHLTH_CrudePrev,Geolocation,lat,long
DC,Washington,1150000,11001001001,1150000-11001001001,7436,7.5,5.8,"(38.94895507540, -77.0884651956)",38.94895507540,-77.0884651956
DC,Washington,1150000,11001008903,1150000-11001008903,2633,15,15.1,"(38.90411113360, -76.9777112277)",38.90411113360,-76.9777112277
DC,Washington,1150000,11001005201,1150000-11001005201,6077,8.3,5.1,"(38.91020264890, -77.0341232003)",38.91020264890,-77.0341232003
DC,Washington,1150000,11001004600,1150000-11001004600,3028,10.3,7.9,"(38.90973739950, -77.0133154357)",38.90973739950,-77.0133154357
DC,Washington,1150000,11001002900,1150000-11001002900,3962,9.3,6.4,"(38.93384663080, -77.0298980442)",38.93384663080,-77.0298980442
DC,Washington,1150000,11001000400,1150000-11001000400,1455,7.9,7.2,"(38.92388923550, -77.0658962319)",38.92388923550,-77.0658962319
DC,Washington,1150000,11001009603,1150000-11001009603,3373,12.9,13.1,"(38.89183195750, -76.9478990099)",38.89183195750,-76.9478990099
DC,Washington,1150000,11001009602,1150000-11001009602,3280,18.6,16.6,"(38.90133112760, -76.9534288384)",38.90133112760,-76.9534288384
DC,Washington,1150000,11001008100,1150000-11001008100,2910,7.9,5.3,"(38.89319291940, -76.9925278020)",38.89319291940,-76.9925278020
DC,Washington,1150000,11001010200,1150000-11001010200,2324,7.9,6.2,"(38.88241606280, -77.0236944203)",38.88241606280,-77.0236944203
DC,Washington,1150000,11001001500,1150000-11001001500,5911,6.8,7,"(38.97349856080, -77.0540766327)",38.97349856080,-77.0540766327
DC,Washington,1150000,11001004801,1150000-11001004801,2143,9.3,6.9,"(38.91174009080, -77.0195319937)",38.91174009080,-77.0195319937
DC,Washington,1150000,11001004802,1150000-11001004802,2922,11.2,8.8,"(38.90621654220, -77.0188944239)",38.90621654220,-77.0188944239
DC,Washington,1150000,11001007901,1150000-11001007901,3822,13.2,11.5,"(38.89651431580, -76.9804422228)",38.89651431580,-76.9804422228
DC,Washington,1150000,11001007903,1150000-11001007903,1774,10.7,10.3,"(38.89638382410, -76.9743348061)",38.89638382410,-76.9743348061
DC,Washington,1150000,11001007806,1150000-11001007806,2347,14.9,15.5,"(38.90560384610, -76.9326879890)",38.90560384610,-76.9326879890
DC,Washington,1150000,11001002701,1150000-11001002701,5233,10.3,8,"(38.93445576660, -77.0416616176)",38.93445576660,-77.0416616176
DC,Washington,1150000,11001002702,1150000-11001002702,5226,10.3,7.5,"(38.93018284990, -77.0418207603)",38.93018284990,-77.0418207603
DC,Washington,1150000,11001009000,1150000-11001009000,2732,10.8,12.4,"(38.92290210170, -76.9540208796)",38.92290210170,-76.9540208796
DC,Washington,1150000,11001003700,1150000-11001003700,5763,11.3,7.2,"(38.92286789180, -77.0343295539)",38.92286789180,-77.0343295539
DC,Washington,1150000,11001004100,1150000-11001004100,2708,6.9,5.6,"(38.91565301140, -77.0520464941)",38.91565301140,-77.0520464941
DC,Washington,1150000,11001001804,1150000-11001001804,4480,12.8,12.7,"(38.96709433550, -77.0304333284)",38.96709433550,-77.0304333284
DC,Washington,1150000,11001001803,1150000-11001001803,3514,12.1,11.3,"(38.96707149520, -77.0397349624)",38.96707149520,-77.0397349624
DC,Washington,1150000,11001007304,1150000-11001007304,3546,15.6,14.8,"(38.84087936760, -76.9851734491)",38.84087936760,-76.9851734491
DC,Washington,1150000,11001007301,1150000-11001007301,3012,10.4,5.1,"(38.84072146610, -77.0230484050)",38.84072146610,-77.0230484050
DC,Washington,1150000,11001003900,1150000-11001003900,4474,8.3,5.2,"(38.92547391490, -77.0439600633)",38.92547391490,-77.0439600633
DC,Washington,1150000,11001001600,1150000-11001001600,3957,6.6,7.3,"(38.98449665110, -77.0378304126)",38.98449665110,-77.0378304126
DC,Washington,1150000,11001009102,1150000-11001009102,4127,13.3,13.1,"(38.91873976690, -76.9889803818)",38.91873976690,-76.9889803818
DC,Washington,1150000,11001002201,1150000-11001002201,3442,10.2,10,"(38.94913373600, -77.0232932042)",38.94913373600,-77.0232932042
DC,Washington,1150000,11001000501,1150000-11001000501,3376,8.1,4.5,"(38.92658630210, -77.0517211589)",38.92658630210,-77.0517211589
DC,Washington,1150000,11001006900,1150000-11001006900,2179,8.2,5.9,"(38.88363569940, -76.9873508943)",38.88363569940,-76.9873508943
DC,Washington,1150000,11001010300,1150000-11001010300,3187,11.3,10.8,"(38.97614153550, -77.0272135707)",38.97614153550,-77.0272135707
DC,Washington,1150000,11001011100,1150000-11001011100,4859,11.7,13,"(38.91612144230, -76.9665022869)",38.91612144230,-76.9665022869
DC,Washington,1150000,11001005900,1150000-11001005900,2998,9.4,5.3,"(38.89600496120, -77.0149463959)",38.89600496120,-77.0149463959
DC,Washington,1150000,11001000502,1150000-11001000502,3189,7.4,5.4,"(38.92835473500, -77.0595624327)",38.92835473500,-77.0595624327
DC,Washington,1150000,11001003302,1150000-11001003302,2134,9,6.3,"(38.91388778200, -77.0111866884)",38.91388778200,-77.0111866884
DC,Washington,1150000,11001003301,1150000-11001003301,3198,8.5,5.8,"(38.92041861550, -77.0114616349)",38.92041861550,-77.0114616349
DC,Washington,1150000,11001010100,1150000-11001010100,2621,8.4,5.7,"(38.90269436350, -77.0318452229)",38.90269436350,-77.0318452229
DC,Washington,1150000,11001002001,1150000-11001002001,2340,11.3,11,"(38.95934161050, -77.0359287407)",38.95934161050,-77.0359287407
DC,Washington,1150000,11001007401,1150000-11001007401,2414,21.9,19.5,"(38.86464115000, -76.9968811847)",38.86464115000,-76.9968811847
DC,Washington,1150000,11001007403,1150000-11001007403,2859,17.9,15.5,"(38.84846298570, -76.9744329125)",38.84846298570,-76.9744329125
DC,Washington,1150000,11001009700,1150000-11001009700,3177,16.4,15.9,"(38.83409380460, -76.9897525071)",38.83409380460,-76.9897525071
DC,Washington,1150000,11001007404,1150000-11001007404,3310,17.3,14.5,"(38.85031022790, -76.9820302095)",38.85031022790,-76.9820302095
DC,Washington,1150000,11001007407,1150000-11001007407,2587,14.5,13,"(38.85746698500, -76.9850581951)",38.85746698500,-76.9850581951
DC,Washington,1150000,11001007406,1150000-11001007406,3063,17.9,14.1,"(38.85551337380, -76.9895724994)",38.85551337380,-76.9895724994
DC,Washington,1150000,11001007409,1150000-11001007409,3499,17.3,14.7,"(38.84528338860, -76.9743267079)",38.84528338860,-76.9743267079
DC,Washington,1150000,11001007408,1150000-11001007408,3038,19.3,17.5,"(38.85257272870, -76.9706854125)",38.85257272870,-76.9706854125
DC,Washington,1150000,11001010700,1150000-11001010700,1838,9.3,4.9,"(38.90399891560, -77.0419808973)",38.90399891560,-77.0419808973
DC,Washington,1150000,11001009508,1150000-11001009508,3290,9.4,9.6,"(38.95386014730, -76.9984739959)",38.95386014730,-76.9984739959
DC,Washington,1150000,11001009509,1150000-11001009509,2940,9.5,10.1,"(38.94919183580, -76.9949630488)",38.94919183580,-76.9949630488
DC,Washington,1150000,11001004702,1150000-11001004702,1802,9.2,7.4,"(38.90086758630, -77.0136052714)",38.90086758630,-77.0136052714
DC,Washington,1150000,11001004701,1150000-11001004701,3986,14,12.3,"(38.90413603140, -77.0136463819)",38.90413603140,-77.0136463819
DC,Washington,1150000,11001010500,1150000-11001010500,3410,9.1,6.8,"(38.88184150930, -77.0133613316)",38.88184150930,-77.0133613316
DC,Washington,1150000,11001009503,1150000-11001009503,2910,7.9,8.5,"(38.94344609880, -76.9845275919)",38.94344609880,-76.9845275919
DC,Washington,1150000,11001009501,1150000-11001009501,5797,15,10.3,"(38.94182499190, -77.0029267109)",38.94182499190,-77.0029267109
DC,Washington,1150000,11001009507,1150000-11001009507,1489,10.7,11.7,"(38.95850128600, -76.9977710356)",38.95850128600,-76.9977710356
DC,Washington,1150000,11001009504,1150000-11001009504,3025,9.2,9.3,"(38.94093369230, -76.9930948758)",38.94093369230,-76.9930948758
DC,Washington,1150000,11001009505,1150000-11001009505,2630,9.2,10.1,"(38.96196414610, -77.0051992100)",38.96196414610,-77.0051992100
DC,Washington,1150000,11001007809,1150000-11001007809,2922,13.6,13.1,"(38.90154038950, -76.9321953815)",38.90154038950,-76.9321953815
DC,Washington,1150000,11001007808,1150000-11001007808,3646,13.3,12.8,"(38.89276694030, -76.9194317159)",38.89276694030,-76.9194317159
DC,Washington,1150000,11001004901,1150000-11001004901,2087,11.2,8.5,"(38.91132979710, -77.0244761699)",38.91132979710,-77.0244761699
DC,Washington,1150000,11001007804,1150000-11001007804,3446,14.7,14.7,"(38.89541924600, -76.9313444651)",38.89541924600,-76.9313444651
DC,Washington,1150000,11001007807,1150000-11001007807,2139,13.8,13.2,"(38.89857267990, -76.9210476683)",38.89857267990,-76.9210476683
DC,Washington,1150000,11001004902,1150000-11001004902,2690,12,8.2,"(38.90588680440, -77.0243932088)",38.90588680440,-77.0243932088
DC,Washington,1150000,11001003200,1150000-11001003200,4913,12.2,9.8,"(38.93226774620, -77.0211715256)",38.93226774620,-77.0211715256
DC,Washington,1150000,11001007803,1150000-11001007803,3293,13.4,13.5,"(38.89598270320, -76.9413771660)",38.89598270320,-76.9413771660
DC,Washington,1150000,11001002400,1150000-11001002400,3618,10.1,8.9,"(38.94178271790, -77.0224057286)",38.94178271790,-77.0224057286
DC,Washington,1150000,11001001100,1150000-11001001100,4779,6.8,6.2,"(38.95724392000, -77.0776735816)",38.95724392000,-77.0776735816
DC,Washington,1150000,11001003600,1150000-11001003600,4208,10.3,7.4,"(38.92367397470, -77.0296266678)",38.92367397470,-77.0296266678
DC,Washington,1150000,11001004202,1150000-11001004202,2771,7.7,4.4,"(38.91340444580, -77.0430359212)",38.91340444580,-77.0430359212
DC,Washington,1150000,11001004201,1150000-11001004201,3342,7.8,4.2,"(38.91620758800, -77.0388456331)",38.91620758800,-77.0388456331
DC,Washington,1150000,11001008402,1150000-11001008402,2149,8.9,6.9,"(38.89860556820, -76.9910793891)",38.89860556820,-76.9910793891
DC,Washington,1150000,11001010600,1150000-11001010600,3933,8.9,6,"(38.90330499520, -77.0033304280)",38.90330499520,-77.0033304280
DC,Washington,1150000,11001006600,1150000-11001006600,1909,7.4,5,"(38.88770336600, -76.9983053722)",38.88770336600,-76.9983053722
