StateAbbr,PlaceName,PlaceFIPS,TractFIPS,Place_TractID,Population2010,MHLTH_CrudePrev,PHLTH_CrudePrev,Geolocation,lat,long,MHLTH_Median,PHLTH_Median
TN,Nashville,4752006,47037016000,4752006-47037016000,874,18.8,21.4,"(36.14549553630, -86.7638145949)",36.14549554,-86.76381459,13.85,13.1
TN,Nashville,4752006,47037018804,4752006-47037018804,4868,9.9,10,"(36.03047021330, -86.7544989419)",36.03047021,-86.75449894,13.85,13.1
TN,Nashville,4752006,47037013300,4752006-47037013300,4004,16,15.4,"(36.15978379140, -86.8530700515)",36.15978379,-86.85307005,13.85,13.1
TN,Nashville,4752006,47037011600,4752006-47037011600,4751,12.1,12.2,"(36.18346985740, -86.7113792554)",36.18346986,-86.71137926,13.85,13.1
TN,Nashville,4752006,47037010202,4752006-47037010202,3482,12.5,14.2,"(36.34497196200, -86.7677653742)",36.34497196,-86.76776537,13.85,13.1
TN,Nashville,4752006,47037010201,4752006-47037010201,4041,12,12.7,"(36.28825140840, -86.7728204615)",36.28825141,-86.77282046,13.85,13.1
TN,Nashville,4752006,47037019106,4752006-47037019106,3710,11.3,8.3,"(36.04494667940, -86.7359377605)",36.04494668,-86.73593776,13.85,13.1
TN,Nashville,4752006,47037019105,4752006-47037019105,5502,15.6,14.5,"(36.05132495530, -86.7242581580)",36.05132496,-86.72425816,13.85,13.1
TN,Nashville,4752006,47037019109,4752006-47037019109,4692,15.7,15.3,"(36.05879840910, -86.6901293191)",36.05879841,-86.69012932,13.85,13.1
TN,Nashville,4752006,47037016400,4752006-47037016400,4402,14.8,7.9,"(36.14016827610, -86.7966089777)",36.14016828,-86.79660898,13.85,13.1
TN,Nashville,4752006,47037018203,4752006-47037018203,1434,8.7,9.6,"(36.11068812870, -86.8763668451)",36.11068813,-86.87636685,13.85,13.1
TN,Nashville,4752006,47037018202,4752006-47037018202,6486,12.4,10.2,"(36.09731179390, -86.9087171990)",36.09731179,-86.9087172,13.85,13.1
TN,Nashville,4752006,47037018201,4752006-47037018201,2958,8.7,9.3,"(36.11534571530, -86.8913814952)",36.11534572,-86.8913815,13.85,13.1
TN,Nashville,4752006,47037014300,4752006-47037014300,1816,16.8,18.9,"(36.16124685210, -86.8156490258)",36.16124685,-86.81564903,13.85,13.1
