StateAbbr,PlaceName,PlaceFIPS,TractFIPS,Place_TractID,Population2010,MHLTH_CrudePrev,PHLTH_CrudePrev,Geolocation,lat,long
OR,Portland,4159000,41051009101,4159000-41051009101,5550,17.9,16.6,"(45.50071695550, -122.508702790)",45.50071695550,-122.508702790
OR,Portland,4159000,41051009102,4159000-41051009102,6416,14.7,13.1,"(45.48852449290, -122.507236523)",45.48852449290,-122.507236523
OR,Portland,4159000,41051003701,4159000-41051003701,4356,12,10.5,"(45.57632820380, -122.668237137)",45.57632820380,-122.668237137
OR,Portland,4159000,41051003702,4159000-41051003702,2420,10.6,8.8,"(45.56632799810, -122.668162133)",45.56632799810,-122.668162133
OR,Portland,4159000,41051005600,4159000-41051005600,5097,13.9,8.4,"(45.51214018580, -122.683983345)",45.51214018580,-122.683983345
OR,Portland,4159000,41051002203,4159000-41051002203,3207,12.5,9.1,"(45.54403147130, -122.667096206)",45.54403147130,-122.667096206
OR,Portland,4159000,41051008901,4159000-41051008901,9112,12.8,11.4,"(45.47093158300, -122.522176502)",45.47093158300,-122.522176502
OR,Portland,4159000,41051009903,4159000-41051009903,391,10.5,9.2,"(45.47672240150, -122.489056050)",45.47672240150,-122.489056050
OR,Portland,4159000,41051000602,4159000-41051000602,5119,14.9,12.7,"(45.47476701570, -122.571963248)",45.47476701570,-122.571963248
OR,Portland,4159000,41051000601,4159000-41051000601,5368,15.7,13.6,"(45.48478113490, -122.566616688)",45.48478113490,-122.566616688
OR,Portland,4159000,41051001201,4159000-41051001201,4865,12.1,7.5,"(45.51571048260, -122.642165657)",45.51571048260,-122.642165657
OR,Portland,4159000,41051003301,4159000-41051003301,2988,12.5,8.9,"(45.55910451240, -122.655603280)",45.55910451240,-122.655603280
OR,Portland,4159000,41051003302,4159000-41051003302,2757,11.5,8.3,"(45.55187357690, -122.655958147)",45.55187357690,-122.655958147
OR,Portland,4159000,41067030102,4159000-41067030102,504,10.1,8.8,"(45.53181138970, -122.775214873)",45.53181138970,-122.775214873
OR,Portland,4159000,41051007500,4159000-41051007500,5080,13.8,12.2,"(45.55688070040, -122.608997460)",45.55688070040,-122.608997460
OR,Portland,4159000,41051008100,4159000-41051008100,7108,14.2,13.7,"(45.52804902910, -122.552495290)",45.52804902910,-122.552495290
OR,Portland,4159000,41051009202,4159000-41051009202,4657,14.8,13,"(45.51329068430, -122.515868787)",45.51329068430,-122.515868787
OR,Portland,4159000,41051009201,4159000-41051009201,8103,15.8,14.5,"(45.51327329260, -122.529355678)",45.51327329260,-122.529355678
OR,Portland,4159000,41051009501,4159000-41051009501,4736,12.7,12.9,"(45.54759425830, -122.509054330)",45.54759425830,-122.509054330
OR,Portland,4159000,41051009502,4159000-41051009502,4359,13,12.5,"(45.55080576720, -122.528133368)",45.55080576720,-122.528133368
OR,Portland,4159000,41051003803,4159000-41051003803,3933,12.8,10.1,"(45.56630184010, -122.684729841)",45.56630184010,-122.684729841
OR,Portland,4159000,41051003802,4159000-41051003802,2965,11.2,8.5,"(45.57353318330, -122.683624882)",45.57353318330,-122.683624882
OR,Portland,4159000,41051003801,4159000-41051003801,2907,12.3,9.6,"(45.58117553990, -122.683985470)",45.58117553990,-122.683985470
OR,Portland,4159000,41051002401,4159000-41051002401,2765,8.7,7.3,"(45.54370660390, -122.652558758)",45.54370660390,-122.652558758
OR,Portland,4159000,41051002402,4159000-41051002402,3310,10.1,9.2,"(45.53420424600, -122.651958843)",45.53420424600,-122.651958843
OR,Portland,4159000,41051001101,4159000-41051001101,2120,14.5,10.4,"(45.51318272300, -122.660937595)",45.51318272300,-122.660937595
OR,Portland,4159000,41051005200,4159000-41051005200,4525,11.6,8.4,"(45.52052543990, -122.690838896)",45.52052543990,-122.690838896
OR,Portland,4159000,41051004102,4159000-41051004102,4966,12.3,10.4,"(45.58698204920, -122.743875388)",45.58698204920,-122.743875388
OR,Portland,4159000,41051006200,4159000-41051006200,2848,9.5,7.8,"(45.46491851120, -122.688559439)",45.46491851120,-122.688559439
OR,Portland,4159000,41051001702,4159000-41051001702,3904,13.3,10.2,"(45.52565685480, -122.573249590)",45.52565685480,-122.573249590
OR,Portland,4159000,41005020800,4159000-41005020800,170,11.4,12.2,"(45.45700650920, -122.649775730)",45.45700650920,-122.649775730
OR,Portland,4159000,41051008902,4159000-41051008902,3984,13.8,11.7,"(45.46802521690, -122.561493734)",45.46802521690,-122.561493734
OR,Portland,4159000,41051000502,4159000-41051000502,4561,14,11.8,"(45.48369719500, -122.584945617)",45.48369719500,-122.584945617
OR,Portland,4159000,41051000501,4159000-41051000501,3732,13.5,10.6,"(45.48220025320, -122.594633816)",45.48220025320,-122.594633816
