StateAbbr,PlaceName,PlaceFIPS,TractFIPS,Place_TractID,Population2010,ACCESS2_CrudePrev,ACCESS2_Crude95CI,ARTHRITIS_CrudePrev,ARTHRITIS_Crude95CI,BINGE_CrudePrev,BINGE_Crude95CI,BPHIGH_CrudePrev,BPHIGH_Crude95CI,BPMED_CrudePrev,BPMED_Crude95CI,CANCER_CrudePrev,CANCER_Crude95CI,CASTHMA_CrudePrev,CASTHMA_Crude95CI,CHD_CrudePrev,CHD_Crude95CI,CHECKUP_CrudePrev,CHECKUP_Crude95CI,CHOLSCREEN_CrudePrev,CHOLSCREEN_Crude95CI,COLON_SCREEN_CrudePrev,COLON_SCREEN_Crude95CI,COPD_CrudePrev,COPD_Crude95CI,COREM_CrudePrev,COREM_Crude95CI,COREW_CrudePrev,COREW_Crude95CI,CSMOKING_CrudePrev,CSMOKING_Crude95CI,DENTAL_CrudePrev,DENTAL_Crude95CI,DIABETES_CrudePrev,DIABETES_Crude95CI,HIGHCHOL_CrudePrev,HIGHCHOL_Crude95CI,KIDNEY_CrudePrev,KIDNEY_Crude95CI,LPA_CrudePrev,LPA_Crude95CI,MAMMOUSE_CrudePrev,MAMMOUSE_Crude95CI,MHLTH_CrudePrev,MHLTH_Crude95CI,OBESITY_CrudePrev,OBESITY_Crude95CI,PAPTEST_CrudePrev,PAPTEST_Crude95CI,PHLTH_CrudePrev,PHLTH_Crude95CI,SLEEP_CrudePrev,SLEEP_Crude95CI,STROKE_CrudePrev,STROKE_Crude95CI,TEETHLOST_CrudePrev,TEETHLOST_Crude95CI,Geolocation
MI,Detroit,2622000,26163518800,2622000-26163518800,795,21.8,"(17.9, 25.9)",40,"(38.3, 41.7)",12.6,"(11.9, 13.2)",54.3,"(52.8, 55.6)",81.6,"(80.5, 82.7)",6.2,"( 5.9,  6.5)",14.9,"(13.7, 16.2)",11.7,"(10.7, 12.9)",78.3,"(77.3, 79.3)",73,"(70.8, 75.0)",51,"(46.1, 55.8)",15.1,"(13.2, 17.2)",17.8,"(13.6, 22.2)",17.3,"(14.0, 21.0)",33.3,"(29.2, 37.0)",41.5,"(37.0, 46.2)",23.5,"(22.0, 25.1)",43.9,"(42.4, 45.3)",6.1,"( 5.6,  6.6)",42.7,"(38.9, 46.3)",83.3,"(80.3, 85.9)",20.3,"(18.3, 22.2)",52.8,"(51.3, 54.1)",85.1,"(83.0, 87.1)",24.7,"(22.3, 27.3)",52.8,"(51.2, 54.2)",9.3,"( 8.2, 10.4)",35.9,"(25.7, 45.6)","(42.35970171930, -83.0372367802)"
MI,Detroit,2622000,26163543900,2622000-26163543900,901,21.3,"(17.8, 25.0)",33.8,"(32.8, 34.9)",15,"(14.3, 15.7)",43.3,"(42.2, 44.4)",75.6,"(74.6, 76.6)",5.3,"( 5.1,  5.5)",15.2,"(14.1, 16.4)",8.8,"( 8.2,  9.5)",75.4,"(74.4, 76.3)",70.2,"(67.7, 72.6)",54.4,"(50.7, 57.9)",13,"(11.8, 14.5)",19.4,"(16.0, 23.3)",20.7,"(17.6, 24.0)",33.6,"(30.6, 36.9)",44.7,"(40.6, 48.3)",17.5,"(16.7, 18.5)",38.2,"(36.9, 39.6)",4.8,"( 4.5,  5.1)",38.2,"(35.1, 41.2)",82.2,"(79.8, 84.2)",21.1,"(19.3, 23.0)",49.7,"(48.8, 50.6)",84.6,"(82.6, 86.5)",21.5,"(19.8, 23.4)",51.8,"(50.8, 52.8)",6.6,"( 6.0,  7.2)",30.4,"(23.9, 37.9)","(42.38194680420, -83.2493385150)"
MI,Detroit,2622000,26163512200,2622000-26163512200,"1,321",27.1,"(22.7, 31.6)",35.2,"(33.7, 36.6)",11.4,"(10.7, 12.2)",47.9,"(46.4, 49.4)",75.4,"(73.9, 76.8)",4.6,"( 4.3,  4.8)",17.5,"(15.9, 19.4)",9,"( 8.2,  9.7)",76.3,"(75.0, 77.6)",61.3,"(58.1, 64.6)",44.6,"(39.6, 49.0)",15.6,"(13.8, 17.5)",14,"(10.7, 17.9)",15.2,"(12.3, 18.6)",38.9,"(34.6, 43.0)",32.1,"(27.7, 36.5)",20.5,"(19.3, 21.8)",39.6,"(37.9, 41.5)",5.9,"( 5.5,  6.4)",47.5,"(43.3, 51.5)",83.8,"(80.8, 86.2)",25.9,"(23.3, 28.7)",55.6,"(54.0, 56.9)",85.1,"(83.0, 87.0)",25.9,"(23.4, 28.5)",55.4,"(53.7, 56.9)",8.7,"( 7.8,  9.6)",45.7,"(36.3, 55.3)","(42.39531976240, -82.9768484886)"
MI,Detroit,2622000,26163518000,2622000-26163518000,"2,264",14.1,"(11.2, 17.3)",27.2,"(25.9, 28.5)",18.1,"(17.4, 18.7)",37.7,"(36.4, 38.9)",77,"(75.9, 78.1)",5,"( 4.8,  5.2)",12.9,"(12.0, 14.0)",6.3,"( 5.7,  7.1)",74.2,"(73.3, 75.1)",69.6,"(66.9, 72.2)",63.4,"(59.1, 67.4)",8.2,"( 7.0,  9.5)",21.7,"(16.7, 26.7)",23.2,"(18.8, 27.6)",22.8,"(19.1, 26.4)",60.1,"(55.5, 64.5)",13.2,"(12.1, 14.3)",35.4,"(34.2, 36.8)",3.6,"( 3.3,  3.9)",27.3,"(24.2, 30.5)",85.5,"(82.7, 87.9)",16.1,"(14.2, 18.1)",39.4,"(37.8, 40.9)",85.6,"(83.5, 87.6)",14.5,"(12.8, 16.2)",45.2,"(43.3, 46.9)",4.5,"( 3.9,  5.2)",19.1,"(12.4, 27.8)","(42.36249877610, -83.0613712106)"
MI,Detroit,2622000,26163543000,2622000-26163543000,"1,814",10.7,"( 8.9, 12.9)",32.9,"(31.5, 34.3)",15.6,"(15.2, 16.1)",46.9,"(45.6, 48.2)",81.3,"(80.5, 82.1)",6.6,"( 6.3,  6.8)",12.4,"(11.7, 13.2)",7.2,"( 6.5,  7.9)",80.7,"(80.1, 81.3)",80.8,"(79.1, 82.4)",68.7,"(65.7, 71.3)",8.2,"( 7.1,  9.3)",26.6,"(22.3, 31.0)",28.5,"(25.1, 31.7)",19.3,"(16.6, 22.3)",67.1,"(63.3, 70.4)",15.3,"(14.2, 16.5)",39.8,"(38.8, 41.0)",3.8,"( 3.6,  4.1)",25,"(22.4, 27.9)",86.1,"(84.1, 87.8)",13,"(11.7, 14.4)",42.6,"(41.1, 44.2)",87.6,"(85.8, 89.1)",14.3,"(12.8, 15.9)",46,"(44.5, 47.6)",4.7,"( 4.1,  5.3)",13,"( 9.0, 18.2)","(42.40681060200, -83.2257350839)"
MI,Detroit,2622000,26163518600,2622000-26163518600,797,22.4,"(18.7, 26.2)",40.1,"(38.5, 41.6)",11.9,"(11.3, 12.6)",53.6,"(52.1, 54.9)",81.7,"(80.7, 82.8)",6.5,"( 6.2,  6.9)",15.6,"(14.3, 17.0)",11.5,"(10.4, 12.6)",79.3,"(78.4, 80.3)",71.5,"(69.1, 74.0)",52.2,"(47.8, 56.6)",14.9,"(13.0, 16.9)",16.8,"(13.1, 21.1)",16.7,"(13.5, 20.4)",32.4,"(28.6, 36.0)",41.8,"(37.3, 46.7)",22.9,"(21.4, 24.3)",43.7,"(42.0, 45.2)",6.1,"( 5.6,  6.6)",43.7,"(40.0, 47.2)",83.9,"(80.8, 86.7)",20.3,"(18.2, 22.5)",51.1,"(49.6, 52.3)",84.8,"(82.6, 86.9)",24.1,"(21.7, 26.6)",52.2,"(50.7, 53.6)",9.3,"( 8.2, 10.4)",36.9,"(26.7, 46.6)","(42.36472645150, -83.0294479142)"
MI,Detroit,2622000,26163520400,2622000-26163520400,"1,835",18,"(14.8, 21.5)",26.4,"(25.1, 27.6)",16.4,"(15.7, 17.0)",36.2,"(34.8, 37.4)",71.5,"(70.2, 72.8)",3.9,"( 3.7,  4.0)",13.8,"(12.9, 14.8)",6.6,"( 6.0,  7.3)",71.7,"(70.7, 72.6)",64.7,"(62.0, 67.3)",52.3,"(48.0, 56.5)",10,"( 8.7, 11.4)",20,"(16.4, 23.8)",20,"(16.7, 23.4)",29.2,"(25.3, 33.3)",48,"(43.2, 52.2)",13.6,"(12.7, 14.6)",34.2,"(32.9, 35.5)",3.9,"( 3.6,  4.2)",32.5,"(29.2, 36.1)",84.3,"(81.4, 86.5)",20,"(18.0, 22.1)",44.4,"(42.8, 46.0)",84.6,"(82.3, 86.7)",17.6,"(15.9, 19.6)",48.9,"(47.2, 50.6)",4.9,"( 4.4,  5.5)",26.5,"(19.3, 35.1)","(42.34815612560, -83.0675931006)"
MI,Detroit,2622000,26163503900,2622000-26163503900,"2,250",17.2,"(14.5, 20.0)",31.8,"(30.7, 32.9)",15.5,"(14.9, 16.0)",46.1,"(44.8, 47.2)",78.1,"(77.1, 79.1)",5.2,"( 5.0,  5.4)",14,"(13.2, 15.0)",7.2,"( 6.7,  7.8)",78.5,"(77.7, 79.3)",73,"(70.8, 75.0)",60.8,"(57.1, 64.0)",9.9,"( 8.9, 11.1)",20.2,"(16.0, 24.3)",22.2,"(19.0, 25.9)",27.7,"(24.8, 30.6)",53,"(49.0, 56.9)",16.7,"(15.8, 17.7)",38,"(36.8, 39.2)",4.2,"( 3.9,  4.4)",33.4,"(30.5, 36.1)",84.9,"(82.8, 86.7)",17.2,"(15.8, 18.8)",48,"(46.7, 49.1)",86.1,"(84.2, 87.8)",17.6,"(16.0, 19.1)",51.2,"(49.8, 52.4)",5.6,"( 5.1,  6.2)",23.1,"(17.0, 29.7)","(42.41345368200, -82.9873461482)"
MI,Detroit,2622000,26163532300,2622000-26163532300,962,8.9,"( 7.4, 10.8)",30.2,"(28.9, 31.6)",17.8,"(17.3, 18.3)",43.1,"(41.8, 44.5)",80.8,"(79.9, 81.7)",6.9,"( 6.6,  7.2)",11.1,"(10.6, 11.7)",6.4,"( 5.8,  7.0)",80.4,"(79.9, 81.0)",82.8,"(81.2, 84.3)",72.4,"(69.5, 74.8)",6.5,"( 5.6,  7.5)",29.2,"(25.2, 33.2)",30.7,"(27.1, 34.2)",16,"(13.4, 18.8)",73.3,"(69.9, 76.4)",13.1,"(12.1, 14.1)",37.3,"(36.2, 38.3)",3.4,"( 3.1,  3.6)",21.3,"(18.9, 23.9)",85.9,"(84.0, 87.5)",10.9,"( 9.8, 12.1)",38.1,"(36.4, 39.8)",87.7,"(86.0, 89.3)",11.7,"(10.5, 13.1)",43.7,"(42.0, 45.5)",3.9,"( 3.5,  4.5)",10.2,"( 6.8, 14.2)","(42.38403761750, -83.0891147363)"
MI,Detroit,2622000,26163520200,2622000-26163520200,"2,571",12.9,"(11.0, 15.1)",12.9,"(12.4, 13.4)",22.4,"(21.7, 23.2)",18.7,"(18.0, 19.4)",54,"(52.7, 55.3)",2.2,"( 2.2,  2.3)",11.5,"(10.9, 12.5)",2.7,"( 2.6,  2.9)",66,"(65.0, 67.0)",56.2,"(53.7, 58.6)",59.9,"(57.9, 61.8)",4.8,"( 4.3,  5.4)",24.2,"(21.1, 27.1)",27.7,"(24.9, 30.5)",20.5,"(17.6, 23.7)",62,"(58.0, 65.7)",5.1,"( 4.8,  5.3)",22.2,"(21.5, 23.0)",1.8,"( 1.8,  1.9)",20.7,"(18.6, 23.2)",83.2,"(81.6, 84.6)",16.5,"(14.6, 18.4)",28.3,"(26.8, 29.6)",81.1,"(79.2, 82.7)",9.3,"( 8.5, 10.3)",42.4,"(40.4, 44.1)",1.7,"( 1.6,  1.8)",16.7,"(12.5, 21.5)","(42.35721417420, -83.0699378048)"
MI,Detroit,2622000,26163516300,2622000-26163516300,890,25,"(20.5, 29.4)",43.2,"(41.6, 44.7)",11,"(10.4, 11.6)",54.6,"(53.0, 56.0)",82.5,"(81.5, 83.6)",6.9,"( 6.5,  7.3)",15.5,"(14.3, 16.9)",14.3,"(13.0, 15.6)",78.8,"(77.8, 79.8)",73.3,"(70.7, 75.9)",47.3,"(42.8, 51.8)",17.8,"(15.8, 20.0)",15.8,"(12.4, 19.7)",14.6,"(11.7, 18.3)",34.8,"(31.2, 38.3)",36,"(31.9, 40.5)",26.3,"(24.7, 27.9)",44.3,"(42.6, 46.0)",7.3,"( 6.7,  7.9)",48.1,"(44.5, 51.5)",83.3,"(80.4, 85.9)",21.6,"(19.6, 23.8)",53.4,"(52.0, 54.7)",83.8,"(81.3, 86.1)",27.7,"(25.3, 30.3)",52.8,"(51.3, 54.2)",11.6,"(10.3, 13.0)",43.5,"(31.5, 53.5)","(42.35957132070, -83.0152241809)"
MI,Detroit,2622000,26163543800,2622000-26163543800,"1,093",18,"(14.7, 21.5)",32.2,"(31.0, 33.5)",15.4,"(14.7, 15.9)",46.1,"(44.6, 47.5)",76.1,"(74.9, 77.2)",5.2,"( 5.1,  5.4)",13.9,"(12.9, 15.0)",8.2,"( 7.6,  8.9)",75.5,"(74.5, 76.4)",68.7,"(66.0, 71.5)",55.3,"(51.5, 58.8)",11.4,"(10.2, 12.8)",22.9,"(18.7, 27.4)",22,"(18.8, 25.5)",30.1,"(26.2, 33.8)",49.8,"(45.5, 54.3)",16.2,"(15.1, 17.2)",40.6,"(39.2, 42.2)",4.3,"( 4.1,  4.6)",34.3,"(30.9, 37.6)",82.9,"(80.5, 85.0)",18.8,"(16.9, 20.8)",47.8,"(46.2, 49.1)",85.8,"(83.5, 87.8)",19.3,"(17.6, 21.2)",49.9,"(48.2, 51.3)",5.8,"( 5.2,  6.4)",25.4,"(18.8, 32.9)","(42.38940718670, -83.2540331743)"
MI,Detroit,2622000,26163516200,2622000-26163516200,774,22.3,"(18.0, 26.2)",38.7,"(37.1, 40.3)",12.5,"(11.8, 13.2)",52.3,"(50.7, 53.7)",80.7,"(79.6, 81.8)",5.9,"( 5.6,  6.3)",15.4,"(14.1, 16.9)",10.9,"( 9.8, 12.0)",78.5,"(77.5, 79.5)",71.5,"(68.8, 74.3)",50.8,"(45.4, 56.0)",14.7,"(12.7, 16.7)",16.9,"(13.2, 20.8)",17,"(13.7, 20.6)",33.4,"(29.3, 37.2)",40.9,"(36.2, 45.7)",22.8,"(21.2, 24.3)",42.5,"(40.8, 44.1)",5.9,"( 5.5,  6.4)",43,"(39.0, 46.7)",83.7,"(80.6, 86.5)",20.8,"(18.7, 22.9)",52.6,"(51.0, 54.0)",85.4,"(83.1, 87.5)",24.1,"(21.6, 26.6)",53.1,"(51.4, 54.6)",9,"( 7.9, 10.1)",37.1,"(27.0, 47.3)","(42.36615587230, -83.0189390239)"
MI,Detroit,2622000,26163524500,2622000-26163524500,"1,264",34.7,"(30.1, 39.0)",29.4,"(28.3, 30.4)",16.9,"(16.3, 17.6)",36.9,"(35.9, 37.8)",69.3,"(68.1, 70.3)",4.6,"( 4.4,  4.8)",12.9,"(12.0, 13.8)",8.8,"( 8.1,  9.4)",63.8,"(62.7, 64.9)",56.8,"(54.4, 59.2)",44.3,"(40.9, 48.1)",13.3,"(12.0, 14.5)",19.4,"(15.0, 24.6)",19.2,"(15.8, 23.5)",34.2,"(30.8, 37.1)",39.4,"(35.8, 43.7)",14.4,"(13.6, 15.2)",42.6,"(41.3, 43.9)",4.5,"( 4.2,  4.7)",42.4,"(39.2, 45.2)",76.5,"(73.7, 79.2)",22.5,"(20.6, 24.4)",44.4,"(43.3, 45.6)",82.4,"(80.4, 84.5)",23.3,"(21.4, 25.0)",45.6,"(44.3, 46.9)",5.2,"( 4.8,  5.6)",33.9,"(25.4, 41.8)","(42.28683437990, -83.1520078010)"
