OID,Join_Count,TARGET_FID,Join_Cou_1,TARGET_F_1,StateAbbr,PlaceName,PlaceFIPS,TractFIPS,Place_Trac,Population,MHLTH_Crud,PHLTH_Crud,Geolocatio,lat,long,MHLTH_Medi,PHLTH_Medi,MHLTH,PHLTH,Health,StateAbb_1,PlaceNam_1,PlaceFIP_1,TractFIP_1,Place_Tr_1,Populati_1,MHLTH_Cr_1,PHLTH_Cr_1,Geolocat_1,lat_1,long_1,MHLTH_Me_1,PHLTH_Me_1,Distance,Dist_HLTH
-1,1,0,1,0,OK,Oklahoma City,4055000,40109107221.000000000000000,4055000-40109107221,2047,14.699999999999999,16.899999999999999,"(35.39534425620, -97.5388547366)",35.395344260000002,-97.538854740000005,14,13.550000000000001,1.500000000000000,1.000000000000000,2.500000000000000,OK,Oklahoma City,4055000,40109107221.000000000000000,4055000-40109107221,2047,14.699999999999999,16.899999999999999,"(35.39534425620, -97.5388547366)",35.395344260000002,-97.538854740000005,14,13.550000000000001,3,5.500000000000000
-1,1,1,1,1,OK,Oklahoma City,4055000,40109107220.000000000000000,4055000-40109107220,3547,19.500000000000000,20.100000000000001,"(35.40270951390, -97.5392054854)",35.402709510000001,-97.539205490000001,14,13.550000000000001,1.500000000000000,1.000000000000000,2.500000000000000,OK,Oklahoma City,4055000,40109107220.000000000000000,4055000-40109107220,3547,19.500000000000000,20.100000000000001,"(35.40270951390, -97.5392054854)",35.402709510000001,-97.539205490000001,14,13.550000000000001,2,4.500000000000000
-1,1,2,1,2,OK,Oklahoma City,4055000,40109107223.000000000000000,4055000-40109107223,2703,17.800000000000001,19.699999999999999,"(35.41349027230, -97.5257773842)",35.413490269999997,-97.525777379999994,14,13.550000000000001,1.500000000000000,1.000000000000000,2.500000000000000,OK,Oklahoma City,4055000,40109107223.000000000000000,4055000-40109107223,2703,17.800000000000001,19.699999999999999,"(35.41349027230, -97.5257773842)",35.413490269999997,-97.525777379999994,14,13.550000000000001,3,5.500000000000000
-1,1,3,1,3,OK,Oklahoma City,4055000,40109101900.000000000000000,4055000-40109101900,2793,14.100000000000000,12.400000000000000,"(35.48962993140, -97.5388409072)",35.489629930000000,-97.538840910000005,14,13.550000000000001,1.500000000000000,0.000000000000000,1.500000000000000,OK,Oklahoma City,4055000,40109101900.000000000000000,4055000-40109101900,2793,14.100000000000000,12.400000000000000,"(35.48962993140, -97.5388409072)",35.489629930000000,-97.538840910000005,14,13.550000000000001,2,3.500000000000000
-1,1,4,1,4,OK,Oklahoma City,4055000,40027202007.000000000000000,4055000-40027202007,3607,15.100000000000000,12.100000000000000,"(35.36550615290, -97.4435686449)",35.365506150000002,-97.443568639999995,14,13.550000000000001,1.500000000000000,0.000000000000000,1.500000000000000,OK,Oklahoma City,4055000,40027202007.000000000000000,4055000-40027202007,3607,15.100000000000000,12.100000000000000,"(35.36550615290, -97.4435686449)",35.365506150000002,-97.443568639999995,14,13.550000000000001,0,1.500000000000000
-1,1,5,1,5,OK,Oklahoma City,4055000,40109107500.000000000000000,4055000-40109107500,2859,14.400000000000000,6.500000000000000,"(35.41842986330, -97.3940211485)",35.418429860000003,-97.394021150000000,14,13.550000000000001,1.500000000000000,0.000000000000000,1.500000000000000,OK,Oklahoma City,4055000,40109107500.000000000000000,4055000-40109107500,2859,14.400000000000000,6.500000000000000,"(35.41842986330, -97.3940211485)",35.418429860000003,-97.394021150000000,14,13.550000000000001,0,1.500000000000000
-1,1,6,1,6,OK,Oklahoma City,4055000,40109107222.000000000000000,4055000-40109107222,1803,18.300000000000001,19.600000000000001,"(35.39885024270, -97.5257209833)",35.398850240000002,-97.525720980000003,14,13.550000000000001,1.500000000000000,1.000000000000000,2.500000000000000,OK,Oklahoma City,4055000,40109107222.000000000000000,4055000-40109107222,1803,18.300000000000001,19.600000000000001,"(35.39885024270, -97.5257209833)",35.398850240000002,-97.525720980000003,14,13.550000000000001,2,4.500000000000000
-1,1,7,1,7,OK,Oklahoma City,4055000,40109103200.000000000000000,4055000-40109103200,3498,14.500000000000000,10.800000000000001,"(35.47386819480, -97.5235897811)",35.473868189999997,-97.523589779999995,14,13.550000000000001,1.500000000000000,0.000000000000000,1.500000000000000,OK,Oklahoma City,4055000,40109103200.000000000000000,4055000-40109103200,3498,14.500000000000000,10.800000000000001,"(35.47386819480, -97.5235897811)",35.473868189999997,-97.523589779999995,14,13.550000000000001,3,4.500000000000000
-1,1,8,1,8,OK,Oklahoma City,4055000,40109104500.000000000000000,4055000-40109104500,3639,21.199999999999999,21.699999999999999,"(35.43515144620, -97.5346262910)",35.435151449999999,-97.534626290000006,14,13.550000000000001,1.500000000000000,1.000000000000000,2.500000000000000,OK,Oklahoma City,4055000,40109104500.000000000000000,4055000-40109104500,3639,21.199999999999999,21.699999999999999,"(35.43515144620, -97.5346262910)",35.435151449999999,-97.534626290000006,14,13.550000000000001,1,3.500000000000000
-1,1,9,1,9,OK,Oklahoma City,4055000,40109106604.000000000000000,4055000-40109106604,2312,15.100000000000000,13.699999999999999,"(35.52639005200, -97.5759781766)",35.526390050000003,-97.575978180000007,14,13.550000000000001,1.500000000000000,1.000000000000000,2.500000000000000,OK,Oklahoma City,4055000,40109106604.000000000000000,4055000-40109106604,2312,15.100000000000000,13.699999999999999,"(35.52639005200, -97.5759781766)",35.526390050000003,-97.575978180000007,14,13.550000000000001,1,3.500000000000000
