OID,Join_Count,TARGET_FID,Join_Cou_1,TARGET_F_1,StateAbbr,PlaceName,PlaceFIPS,TractFIPS,Place_Trac,Population,MHLTH_Crud,PHLTH_Crud,Geolocatio,lat,long,MHLTH_Medi,PHLTH_Medi,MHLTH,PHLTH,Health,comboMetri,StateAbb_1,PlaceNam_1,PlaceFIP_1,TractFIP_1,Place_Tr_1,Populati_1,MHLTH_Cr_1,PHLTH_Cr_1,Geolocat_1,lat_1,long_1,MHLTH_Me_1,PHLTH_Me_1,Distance,Dist_HLTH
-1,1,0,1,0,OR,Portland,4159000,41051004101.000000000000000,4159000-41051004101,7215,13.699999999999999,10.900000000000000,"(45.60462497390, -122.757865605)",45.604624970000003,-122.757865600000002,11.600000000000000,9.100000000000000,1.500000000000000,1.000000000000000,2.500000000000000,0.000000000000000,OR,Portland,4159000,41051004101.000000000000000,4159000-41051004101,7215,13.699999999999999,10.900000000000000,"(45.60462497390, -122.757865605)",45.604624970000003,-122.757865600000002,11.600000000000000,9.100000000000000,3,5.500000000000000
-1,1,1,1,1,OR,Portland,4159000,41051000802.000000000000000,4159000-41051000802,4526,12.199999999999999,9.100000000000000,"(45.49383173160, -122.611978291)",45.493831729999997,-122.611978300000004,11.600000000000000,9.100000000000000,1.500000000000000,0.000000000000000,1.500000000000000,0.000000000000000,OR,Portland,4159000,41051000802.000000000000000,4159000-41051000802,4526,12.199999999999999,9.100000000000000,"(45.49383173160, -122.611978291)",45.493831729999997,-122.611978300000004,11.600000000000000,9.100000000000000,3,4.500000000000000
-1,1,2,1,2,OR,Portland,4159000,41051007900.000000000000000,4159000-41051007900,4530,13.600000000000000,11.800000000000001,"(45.55336928220, -122.548153145)",45.553369279999998,-122.548153099999993,11.600000000000000,9.100000000000000,1.500000000000000,1.000000000000000,2.500000000000000,0.000000000000000,OR,Portland,4159000,41051007900.000000000000000,4159000-41051007900,4530,13.600000000000000,11.800000000000001,"(45.55336928220, -122.548153145)",45.553369279999998,-122.548153099999993,11.600000000000000,9.100000000000000,3,5.500000000000000
-1,1,3,1,3,OR,Portland,4159000,41051001000.000000000000000,4159000-41051001000,5353,12.400000000000000,8.900000000000000,"(45.49793417440, -122.649708925)",45.497934170000001,-122.649708899999993,11.600000000000000,9.100000000000000,1.500000000000000,0.000000000000000,1.500000000000000,0.000000000000000,OR,Portland,4159000,41051001000.000000000000000,4159000-41051001000,5353,12.400000000000000,8.900000000000000,"(45.49793417440, -122.649708925)",45.497934170000001,-122.649708899999993,11.600000000000000,9.100000000000000,3,4.500000000000000
-1,1,4,1,4,OR,Portland,4159000,41051003501.000000000000000,4159000-41051003501,3518,11.699999999999999,8.900000000000000,"(45.55945744430, -122.685972685)",45.559457440000003,-122.685972699999994,11.600000000000000,9.100000000000000,1.500000000000000,0.000000000000000,1.500000000000000,0.000000000000000,OR,Portland,4159000,41051003501.000000000000000,4159000-41051003501,3518,11.699999999999999,8.900000000000000,"(45.55945744430, -122.685972685)",45.559457440000003,-122.685972699999994,11.600000000000000,9.100000000000000,3,4.500000000000000
-1,1,5,1,5,OR,Portland,4159000,41051007700.000000000000000,4159000-41051007700,1977,13.400000000000000,11.900000000000000,"(45.55923725040, -122.571030546)",45.559237250000002,-122.571030500000006,11.600000000000000,9.100000000000000,1.500000000000000,1.000000000000000,2.500000000000000,0.000000000000000,OR,Portland,4159000,41051007700.000000000000000,4159000-41051007700,1977,13.400000000000000,11.900000000000000,"(45.55923725040, -122.571030546)",45.559237250000002,-122.571030500000006,11.600000000000000,9.100000000000000,1,3.500000000000000
-1,1,6,1,6,OR,Portland,4159000,41051008302.000000000000000,4159000-41051008302,4158,15.300000000000001,14.600000000000000,"(45.49706386470, -122.556899138)",45.497063859999997,-122.556899099999995,11.600000000000000,9.100000000000000,1.500000000000000,1.000000000000000,2.500000000000000,0.000000000000000,OR,Portland,4159000,41051008302.000000000000000,4159000-41051008302,4158,15.300000000000001,14.600000000000000,"(45.49706386470, -122.556899138)",45.497063859999997,-122.556899099999995,11.600000000000000,9.100000000000000,3,5.500000000000000
-1,1,7,1,7,OR,Portland,4159000,41051008600.000000000000000,4159000-41051008600,4241,14.600000000000000,12.600000000000000,"(45.46888175760, -122.584193203)",45.468881760000002,-122.584193200000001,11.600000000000000,9.100000000000000,1.500000000000000,1.000000000000000,2.500000000000000,0.000000000000000,OR,Portland,4159000,41051008600.000000000000000,4159000-41051008600,4241,14.600000000000000,12.600000000000000,"(45.46888175760, -122.584193203)",45.468881760000002,-122.584193200000001,11.600000000000000,9.100000000000000,3,5.500000000000000
-1,1,8,1,8,OR,Portland,4159000,41051004200.000000000000000,4159000-41051004200,3333,12.199999999999999,9.400000000000000,"(45.59140719610, -122.761490208)",45.591407199999999,-122.761490199999997,11.600000000000000,9.100000000000000,1.500000000000000,1.000000000000000,2.500000000000000,0.000000000000000,OR,Portland,4159000,41051004200.000000000000000,4159000-41051004200,3333,12.199999999999999,9.400000000000000,"(45.59140719610, -122.761490208)",45.591407199999999,-122.761490199999997,11.600000000000000,9.100000000000000,3,5.500000000000000
-1,1,9,1,9,OR,Portland,4159000,41051009702.000000000000000,4159000-41051009702,4592,16.199999999999999,15.800000000000001,"(45.51150725400, -122.489933780)",45.511507250000001,-122.489933800000003,11.600000000000000,9.100000000000000,1.500000000000000,1.000000000000000,2.500000000000000,0.000000000000000,OR,Portland,4159000,41051009702.000000000000000,4159000-41051009702,4592,16.199999999999999,15.800000000000001,"(45.51150725400, -122.489933780)",45.511507250000001,-122.489933800000003,11.600000000000000,9.100000000000000,3,5.500000000000000
