OID,Join_Count,TARGET_FID,Join_Cou_1,TARGET_F_1,StateAbbr,PlaceName,PlaceFIPS,TractFIPS,Place_Trac,Population,MHLTH_Crud,PHLTH_Crud,Geolocatio,lat,long,MHLTH_Medi,PHLTH_Medi,MHLTH,PHLTH,Health,Distance,Dist_HLTH
-1,1,0,1,0,NV,Las Vegas,3240000,32003003260.000000000000000,3240000-32003003260,3454,14.300000000000001,14.199999999999999,"(36.16216872660, -115.268507855)",36.162168729999998,-115.268507900000003,14.100000000000000,13.900000000000000,1.500000000000000,1.000000000000000,2.500000000000000,2,4.500000000000000
-1,1,1,1,1,NV,Las Vegas,3240000,32003000518.000000000000000,3240000-32003000518,5297,17.899999999999999,17.699999999999999,"(36.16252864680, -115.092936637)",36.162528649999999,-115.092936600000002,14.100000000000000,13.900000000000000,1.500000000000000,1.000000000000000,2.500000000000000,1,3.500000000000000
-1,1,2,1,2,NV,Las Vegas,3240000,32003001402.000000000000000,3240000-32003001402,4162,17.300000000000001,18.300000000000001,"(36.14782629480, -115.116225107)",36.147826289999998,-115.116225099999994,14.100000000000000,13.900000000000000,1.500000000000000,1.000000000000000,2.500000000000000,3,5.500000000000000
-1,1,3,1,3,NV,Las Vegas,3240000,32003001401.000000000000000,3240000-32003001401,3181,16.399999999999999,18.500000000000000,"(36.15507928590, -115.120248596)",36.155079290000003,-115.120248599999996,14.100000000000000,13.900000000000000,1.500000000000000,1.000000000000000,2.500000000000000,2,4.500000000000000
-1,1,4,1,4,NV,Las Vegas,3240000,32003000600.000000000000000,3240000-32003000600,2824,19.500000000000000,22.100000000000001,"(36.16242933770, -115.129268159)",36.162429340000003,-115.129268199999999,14.100000000000000,13.900000000000000,1.500000000000000,1.000000000000000,2.500000000000000,3,5.500000000000000
-1,1,5,1,5,NV,Las Vegas,3240000,32003001100.000000000000000,3240000-32003001100,2611,18.199999999999999,20.800000000000001,"(36.15133149150, -115.156863426)",36.151331489999997,-115.156863400000006,14.100000000000000,13.900000000000000,1.500000000000000,1.000000000000000,2.500000000000000,2,4.500000000000000
-1,1,6,1,6,NV,Las Vegas,3240000,32003003004.000000000000000,3240000-32003003004,2127,15.400000000000000,15.199999999999999,"(36.17592654610, -115.251786966)",36.175926550000000,-115.251786999999993,14.100000000000000,13.900000000000000,1.500000000000000,1.000000000000000,2.500000000000000,3,5.500000000000000
-1,1,7,1,7,NV,Las Vegas,3240000,32003003006.000000000000000,3240000-32003003006,3397,15.300000000000001,15.000000000000000,"(36.16268942330, -115.251415024)",36.162689420000000,-115.251414999999994,14.100000000000000,13.900000000000000,1.500000000000000,1.000000000000000,2.500000000000000,1,3.500000000000000
-1,1,8,1,8,NV,Las Vegas,3240000,32003003003.000000000000000,3240000-32003003003,5301,14.600000000000000,13.300000000000001,"(36.18331695980, -115.252151339)",36.183316959999999,-115.252151299999994,14.100000000000000,13.900000000000000,1.500000000000000,0.000000000000000,1.500000000000000,3,4.500000000000000
-1,1,9,1,9,NV,Las Vegas,3240000,32003003419.000000000000000,3240000-32003003419,6588,18.000000000000000,16.500000000000000,"(36.19956166550, -115.234128254)",36.199561670000001,-115.234128299999995,14.100000000000000,13.900000000000000,1.500000000000000,1.000000000000000,2.500000000000000,2,4.500000000000000
-1,1,10,1,10,NV,Las Vegas,3240000,32003003418.000000000000000,3240000-32003003418,4121,17.300000000000001,14.300000000000001,"(36.19977758370, -115.252466163)",36.199777580000003,-115.252466200000001,14.100000000000000,13.900000000000000,1.500000000000000,1.000000000000000,2.500000000000000,3,5.500000000000000
-1,1,11,1,11,NV,Las Vegas,3240000,32003000519.000000000000000,3240000-32003000519,4649,19.699999999999999,19.300000000000001,"(36.16271950110, -115.071231416)",36.162719500000001,-115.071231400000002,14.100000000000000,13.900000000000000,1.500000000000000,1.000000000000000,2.500000000000000,3,5.500000000000000
-1,1,12,1,12,NV,Las Vegas,3240000,32003000517.000000000000000,3240000-32003000517,5103,17.100000000000001,15.699999999999999,"(36.17008250240, -115.071217946)",36.170082499999999,-115.071217899999994,14.100000000000000,13.900000000000000,1.500000000000000,1.000000000000000,2.500000000000000,2,4.500000000000000
-1,1,13,1,13,NV,Las Vegas,3240000,32003000516.000000000000000,3240000-32003000516,5326,19.600000000000001,19.399999999999999,"(36.16986501080, -115.093099930)",36.169865010000002,-115.093099899999999,14.100000000000000,13.900000000000000,1.500000000000000,1.000000000000000,2.500000000000000,3,5.500000000000000
-1,1,14,1,14,NV,Las Vegas,3240000,32003000515.000000000000000,3240000-32003000515,5104,18.500000000000000,18.300000000000001,"(36.17745255340, -115.071281569)",36.177452549999998,-115.071281600000006,14.100000000000000,13.900000000000000,1.500000000000000,1.000000000000000,2.500000000000000,3,5.500000000000000
-1,1,15,1,15,NV,Las Vegas,3240000,32003000514.000000000000000,3240000-32003000514,6235,17.699999999999999,17.500000000000000,"(36.17725101060, -115.093355858)",36.177251009999999,-115.093355900000006,14.100000000000000,13.900000000000000,1.500000000000000,1.000000000000000,2.500000000000000,2,4.500000000000000
-1,1,16,1,16,NV,Las Vegas,3240000,32003000513.000000000000000,3240000-32003000513,3874,19.399999999999999,21.500000000000000,"(36.18484487580, -115.071207119)",36.184844880000000,-115.071207099999995,14.100000000000000,13.900000000000000,1.500000000000000,1.000000000000000,2.500000000000000,2,4.500000000000000
-1,1,17,1,17,NV,Las Vegas,3240000,32003000510.000000000000000,3240000-32003000510,5503,17.500000000000000,16.899999999999999,"(36.18041799780, -115.120300576)",36.180418000000003,-115.120300599999993,14.100000000000000,13.900000000000000,1.500000000000000,1.000000000000000,2.500000000000000,1,3.500000000000000
-1,1,18,1,18,NV,Las Vegas,3240000,32003000203.000000000000000,3240000-32003000203,3582,17.399999999999999,18.699999999999999,"(36.16740224310, -115.166832287)",36.167402240000001,-115.166832299999996,14.100000000000000,13.900000000000000,1.500000000000000,1.000000000000000,2.500000000000000,2,4.500000000000000
-1,1,19,1,19,NV,Las Vegas,3240000,32003000201.000000000000000,3240000-32003000201,4533,15.699999999999999,16.000000000000000,"(36.18233110900, -115.169449800)",36.182331110000000,-115.169449799999995,14.100000000000000,13.900000000000000,1.500000000000000,1.000000000000000,2.500000000000000,3,5.500000000000000
-1,1,20,1,20,NV,Las Vegas,3240000,32003003303.000000000000000,3240000-32003003303,4672,14.600000000000000,12.199999999999999,"(36.27046603610, -115.252749359)",36.270466040000002,-115.252749399999999,14.100000000000000,13.900000000000000,1.500000000000000,0.000000000000000,1.500000000000000,1,2.500000000000000
